time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.4584790212e-07,-8.97396180944e-08,10.0047715001,6.28303232695,0.000297184964239,0.0,-2.96354530035e-05,-1.08407222015e-05,0.159040418632,-0.00821126595197,0.0133700730347,0.0,454.58946390944124,455.6592975717698,455.69884772248594,455.04217008724515
0.12000000000000001,-1.15770831087e-05,-5.76583109293e-06,10.0180595484,6.28273742714,0.00082995355617,0.0,-0.000417381850194,-0.000219233353759,0.283870974988,0.000974650362736,-0.0020949759003,0.0,444.9063313570194,443.63844506426295,444.8476831140043,445.59919843890503
0.18,-5.5098887025e-05,-2.87880362033e-05,10.0403834205,6.28295092586,0.000660881865313,0.0,-0.001016646094,-0.000532236931926,0.46020306612,0.00828108197613,-0.00430441521335,0.0,460.74634595962726,460.57172010053887,460.236165010731,460.8139323625862
0.23999999999999996,-0.000131861979082,-6.43853222611e-05,10.0762179202,6.28305078114,0.000125237922864,0.0,-0.00149405470963,-0.000609488125931,0.734144757799,-0.0168216685697,-0.0203077212431,0.0,489.55944691631447,488.3675323226161,490.4644160567531,488.5967705951679
0.3,-0.000219127514564,-0.000107534810973,10.1258122197,6.28264561199,6.28202653432,0.0,-0.00127159457882,-0.000903840723207,0.918868003511,0.00817730176872,-0.0236796291263,0.0,463.32977609663016,463.0646554553505,462.97242494550335,464.9349919521777
0.36000000000000004,-0.000263597044506,-0.000171734456315,10.1856492554,6.28271114935,6.28056560868,0.0,-5.18923367229e-05,-0.00119837263872,1.07556503905,-0.0194301097788,-0.0257216032001,0.0,455.67820501702624,455.51489556610835,456.3080251029453,454.0990845839433
0.4200000000000001,-0.000225575165535,-0.000253522816957,10.2468515248,6.28154749109,6.2795819996,0.0,0.00140576669018,-0.00161041224594,0.964611755636,-0.0193227957751,-0.00230712532327,0.0,363.91145566887246,366.24738761685586,365.12821851891124,365.1388744818653
0.48000000000000015,-6.91483004074e-05,-0.000386809715612,10.3069616533,6.28058512011,6.27956327354,0.0,0.00381567818887,-0.00293586729889,1.0389939483,-0.0101712211011,0.00340623685877,0.0,429.96082085345984,430.4445408759964,428.7111850606711,429.48805136848586
0.5400000000000001,0.000224431402747,-0.000612098439067,10.3697246489,6.27972866107,6.27996383063,0.0,0.00594264020067,-0.00463775892921,1.05309283155,-0.0240958974021,0.0125229433173,0.0,410.2231343182941,411.0316914669114,409.69682020723457,408.4570885361937
0.6000000000000002,0.000655966828608,-0.000980625985778,10.4395570058,6.27849991831,6.28038147042,0.0,0.00836705870746,-0.00780508818392,1.27443173734,-0.0140816415137,-0.00750821494574,0.0,474.97202841904124,473.4334090184819,475.32485673254604,476.0916305645913
0.6600000000000003,0.00121066335902,-0.0015372078176,10.5166188171,6.27778690014,6.27997313681,0.0,0.0101614325523,-0.0108174498297,1.2942724519,-0.0078149676471,-0.00543599717718,0.0,413.83593085233036,414.01837823062203,410.47503392275394,411.03083293568403
0.7200000000000003,0.0018931557593,-0.00230757978755,10.5988385712,6.27776182793,6.27936586906,0.0,0.0126364923199,-0.0148843840944,1.44620574584,0.0113244881961,-0.0216940673675,0.0,454.63746165460776,453.33318918591357,454.7239651305204,456.2544654747388
0.7800000000000004,0.00275068039808,-0.00332991452037,10.6924330185,6.27791845593,6.27812620178,0.0,0.0160998308752,-0.0191264206443,1.67330464484,-0.0271620157947,-0.0186715359339,0.0,477.09544519356706,477.32618675994104,479.33437271336646,476.40092118242706
0.8400000000000004,0.00382823729549,-0.00459533374489,10.7964005965,6.27662123311,6.27651755732,0.0,0.019950583895,-0.023204648016,1.79210082603,-0.0123631953927,-0.0527801532464,0.0,447.8712710920964,445.08830008305137,444.03626475875683,445.2485078614442
0.9000000000000005,0.00520642673612,-0.00615558025332,10.9113833302,6.27614838761,6.27399167853,0.0,0.0263316604783,-0.0288745446237,2.04024489976,-0.000157230663903,-0.0264959452698,0.0,484.00748674015136,485.98051440088227,483.8171788161345,484.7353435209648
0.9600000000000005,0.00697488870581,-0.00802793795589,11.036030132,6.27628085385,6.27257621663,0.0,0.0327627761225,-0.033530040743,2.11451239294,0.00656187712576,-0.0183366475365,0.0,432.3587753561879,433.0455409187778,432.5305805772272,433.0960116275973
1.0200000000000005,0.0091686540265,-0.0101841592992,11.1663887109,6.27674262262,6.2719931038,0.0,0.0404440289778,-0.0382978075219,2.23055356284,0.00987335611995,0.00353218829491,0.0,445.3404553596813,447.1256476115093,446.198545382578,446.46867925923385
1.0800000000000005,0.0118260564665,-0.0126131282311,11.3032595922,6.27695684921,6.27227586869,0.0,0.0481083967318,-0.0426206934092,2.33160886702,-0.0136458527234,0.00697519863239,0.0,442.7358924499972,443.01898546947103,442.208194580771,440.2665962053321
1.1400000000000006,0.0149201589502,-0.0152927718971,11.4446655995,6.2758706551,6.27230115449,0.0,0.0550013184882,-0.0467883914682,2.38182079498,-0.0289755365461,-0.0178035094595,0.0,427.7041545485729,425.58863742258393,426.38226220882416,425.07064797829764
1.2000000000000006,0.0184414646963,-0.0182529769714,11.5899270051,6.27403963413,6.27167210837,0.0,0.0624545156346,-0.0520599246093,2.46005818046,-0.0337927736666,0.0011583190989,0.0,435.7824041749008,437.3645875293657,434.5827520907989,434.1784575915564
